factura_id;ciudad;tipo_cliente;genero;linea_producto;precio;cantidad;impuesto_5;total;fecha;hora;pago;rating;Producto_id;tienda_id
750-67-8428;Yangon;Member;Female;Health and beauty;74.69;7;26.1415;548.9715;01/05/2019;13:08;Ewallet;9.1;2;1
226-31-3081;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;3.82;80.22;03/08/2019;10:29;Cash;9.6;3;4
631-41-3108;Yangon;Normal;Male;Home and lifestyle;46.33;7;16.2155;340.5255;03/03/2019;13:23;Credit card;7.4;4;5
123-19-1176;Yangon;Member;Male;Health and beauty;58.22;8;23.288;489.048;01/27/2019;20:33;Ewallet;8.4;5;6
373-73-7910;Yangon;Normal;Male;Sports and travel;86.31;7;30.2085;634.3785;02/08/2019;10:37;Ewallet;5.3;6;7
699-14-3026;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;29.8865;627.6165;03/25/2019;18:30;Ewallet;4.1;6;8
355-53-5943;Yangon;Member;Female;Electronic accessories;68.84;6;20.652;433.692;02/25/2019;14:36;Ewallet;5.8;7;1
315-22-5665;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;772.38;02/24/2019;11:38;Ewallet;8;1;4
665-32-9167;Yangon;Member;Female;Health and beauty;36.26;2;3.626;76.146;01/10/2019;17:15;Credit card;7.2;1;3
692-92-5582;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.746;02/20/2019;13:27;Credit card;5.9;3;7
351-62-0822;Mandalay;Member;Female;Fashion accessories;14.48;4;2.896;60.816;02/06/2019;18:07;Ewallet;4.5;5;6
529-56-3974;Mandalay;Member;Male;Electronic accessories;25.51;;5.102;107.142;03/09/2019;17:03;Cash;6.8;9;8
365-64-0515;Yangon;Normal;Female;Electronic accessories;46.95;5;11.7375;246.4875;02/12/2019;10:25;Ewallet;7.1;3;1
252-56-2699;Yangon;Normal;Male;Food and beverages;43.19;10;21.595;453.495;02/07/2019;16:48;Ewallet;8.2;2;2
829-34-3910;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;749.49;03/29/2019;19:21;Cash;5.7;1;4
299-46-1805;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;01/15/2019;16:19;Cash;4.5;1;5
656-95-9349;Yangon;Member;Female;Health and beauty;68.93;7;;506.6355;03/11/2019;11:03;Credit card;4.6;5;7
765-26-6951;Yangon;Normal;Male;Sports and travel;;6;21.783;457.443;01/01/2019;10:39;Credit card;6.9;6;6
329-62-1586;Yangon;Normal;Male;Food and beverages;54.67;3;8.2005;172.2105;01/21/2019;18:00;Credit card;8.6;7;8
319-50-3348;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;03/11/2019;15:30;Ewallet;4.4;8;1
300-71-4605;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;02/25/2019;11:24;Ewallet;4.8;234;2
371-85-5789;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;03/05/2019;10:40;Ewallet;5.1;34;3
273-16-6619;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;69.72;03/15/2019;12:20;Credit card;4.4;3;4
636-48-8204;Yangon;Normal;Male;Electronic accessories;34.56;5;8.64;181.44;02/17/2019;11:15;Ewallet;9.9;3;5
549-59-1358;Yangon;Member;Male;Sports and travel;88.63;3;13.2945;279.1845;03/02/2019;17:36;Ewallet;6;45;6
227-03-5010;Yangon;Member;Female;Home and lifestyle;52.59;8;21.036;441.756;03/22/2019;19:20;Credit card;8.5;6;1
649-29-6775;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.676;35.196;02/08/2019;15:31;Cash;6.7;7;4
189-17-4241;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767;184.107;03/10/2019;12:17;Credit card;7.7;4;5
145-94-9061;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;01/25/2019;19:48;Cash;9.6;4;6
848-62-7243;Yangon;Normal;Male;Health and beauty;24.89;9;11.2005;235.2105;03/15/2019;15:36;Cash;7.4;34;7
871-79-8483;Mandalay;Normal;Male;Fashion accessories;94.13;5;23.5325;494.1825;02/25/2019;19:39;Credit card;4.8;6;8
149-71-6266;Mandalay;Member;Male;Sports and travel;78.07;9;35.1315;737.7615;01/28/2019;12:43;Cash;4.5;2;1
640-49-2076;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;01/10/2019;14:49;Cash;5.1;3;4
595-11-5460;Yangon;Normal;Male;Health and beauty;96.58;2;9.658;202.818;03/15/2019;10:12;Credit card;5.1;4;3
183-56-6882;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;02/06/2019;10:42;Ewallet;7.5;5;7
232-16-2483;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.406;71.526;01/07/2019;12:28;Ewallet;6.8;6;6
129-29-8530;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;03/10/2019;19:15;Ewallet;7;6;8
272-65-1806;Yangon;Normal;Female;Electronic accessories;60.88;9;27.396;575.316;01/15/2019;17:17;Ewallet;4.7;7;1
333-73-7901;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968;461.328;03/23/2019;13:24;Ewallet;7.6;1;2
777-82-7220;Mandalay;Member;Male;Home and lifestyle;30.12;8;12.048;253.008;03/03/2019;13:01;Cash;7.7;1;4
280-35-5823;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;01/17/2019;18:45;Ewallet;7.9;3;5
554-53-8700;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.611;117.831;02/02/2019;10:11;Cash;6.3;5;7
354-25-5821;Mandalay;Member;Female;Sports and travel;69.12;6;20.736;435.456;02/08/2019;13:03;Cash;5.6;9;6
228-96-1411;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;03/04/2019;20:39;Cash;7.6;3;8
617-15-4209;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;03/16/2019;19:47;Cash;7.2;2;1
132-32-9879;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.632;03/09/2019;18:00;Cash;9.5;1;2
370-41-7321;Mandalay;Member;Male;Health and beauty;56.69;9;25.5105;535.7205;02/27/2019;17:24;Credit card;8.4;1;3
727-46-3608;Mandalay;Member;Female;Food and beverages;20.01;9;9.0045;189.0945;02/06/2019;15:47;Ewallet;4.1;5;4
669-54-1719;Mandalay;Member;Male;Electronic accessories;18.93;6;5.679;119.259;02/10/2019;12:45;Credit card;8.1;6;5
574-22-5561;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;03/19/2019;17:08;Ewallet;7.9;7;6
326-78-5178;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;02/03/2019;10:19;Cash;9.5;8;1
162-48-8011;Yangon;Member;Female;Food and beverages;44.59;5;11.1475;234.0975;02/10/2019;15:10;Cash;8.5;234;4
616-24-2851;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;03/22/2019;14:42;Ewallet;6.5;34;5
778-71-5554;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;16.2015;01/25/2019;15:46;Credit card;6.1;3;6
242-55-6721;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;03/07/2019;11:49;Ewallet;6.5;3;7
399-46-5918;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.392;722.232;02/28/2019;19:01;Cash;8.2;45;8
