ID;Sku;UPC;Marca;Empaque
1;DOUBLEMINT 5 STICK PACKAGE;22000002020;WRIGLEY`S;5STIC
2;JUICE FRUIT 5 STICK PACKAGE;22000002037;WRIGLEY`S;5STIC
3;WINTERFRESH 5 STICKS;22000002082;WRIGLEY`S;5STIC
4;DOUBLEMINT 15 STK SLIM;22000006660;WRIGLEY`S;UNID.
5;ECLIPSE GUM PEPPERMINT 8/18CT;22000013194;ECLIPSE;9'U
6;ECLIPSE GUM WINTERFROST 8/18CT;22000013200;ECLIPSE;9'U
7;ECLIPSE GUM SPEARMINT 8/18 CT;22000013316;ECLIPSE;9'U
8;ORBIT WHITE CHICLE 8X18U;22000013392;WRIGLEY`S;18U
9;ORBIT WHITE GUM PEPPERMI 8/18;22000013439;ECLIPSE;9'U
10;ORBIT WHITE GUM SPEARMINT 8/18;22000013477;ECLIPSE;9'U
11;SALVAVIDAS 2X10X32GR.;22000080684;LIFE SAVERS;32GR.
12;WRIGLEYS FIVE COBALT 15X;22000105066;WRIGLEY`S;UNID.
13;WRIGLEYS FIVE RAIN 15X;22000105080;WRIGLEY`S;UNID.
14;CG.CLEAN PP.CREAMY BEIGE 4/1;22700004645;COVER GIRL;UNID.
15;CG SMOTHER LIQ. F. CLAS. TAWNY;22700007219;COVER GIRL;UNID.
16;CG SMOOTHERS PRESS.POWD.TRANSL;22700008599;COVER GIRL;9.3GR
17;CG SMOTHER PP TRANSLU HONEY;22700008605;COVER GIRL;UNID.
18;RENUZIT 3 PACK APPLE AND CINAM;23400354696;RENUZIT;3PACK
19;RENUZIT SON PEARL AFTERTHE RAI;23400360673;RENUZIT;3.5oz
20;RIGHT BITES CHEEZ-IT SNACK MIX;24100351930;KEEBLER;4.44O
21;CONCENTRADO LIQ BABY 6/50OZ;24200003005;BABY;50ONZ
22;PUREX ULTRA CONCET. AFTER RAIN;24200047863;PUREX;UNID.
23;13101 STA-FLO 64OZ;24200131012;STA. FLO;64OZ
24;ZIPLOC BOLSA 9X50U;25700003106;ZIPLOC;50U
25;330 ZIPLOC STORAGE BAGS QUART;25700003304;ZIPLOC;25CT
26;00350 ZIPLOC SOTARAGE GALL 20;25700003502;ZIPLOC;20CT
27;00388 ZIPLOC FREEZER QUART 20;25700003885;ZIPLOC;20CT
28;ZIPLOC SANDWICH 100 BAGS;25700003915;ZIPLOC;100CT
29;ZIPLOC SNACK BAG 12X50CT.;25700011422;ZIPLOC;50U
30;ZIPLOC BOLSA SADNWICH 30U;25700243076;ZIPLOC;UNID.
31;FLOR D.CANA GOLD 12X750ML.;26964177190;FLOR DE CANA;750ML
32;RON FLOR DE CANA 1/2 BOTELLA;26964458763;BACARDI;375ML
33;RON FLOR DE CANA GOLD/A¥EJO;26964690262;BACARDI;750ML
34;FLOR DE CANA BLACK LABEL 375ML;26964726398;FLOR DE CANA;375ML
35;FLOR D.GANA RON GRAN RESERVA;26964852745;FLOR DE CANA;UNID.
36;BLUE BONNET BOWL SPREAD 1LB C/;27000009000;BLUE BONNET;1LB.
37;BLUE BONNET B SPREAD LIGHT;27000009307;BLUE BONNET;1LB.
38;BLUE BONNET BOWL SPREAD 3LB C/;27000009338;BLUE BONNET;45OZ.
39;DOS PINOS NATILLA LA GRANJA;7.441E+12;DOS PINOS;UNID.
40;CONO KRUNCHY KRISP-002;7.441E+12;DOS PINOS;UNID.
41;COMB.VAINI FRESA LIMON 1/4GL;7.441E+12;DOS PINOS;1/4GL
42;VAINILLA 1/4 GL.;7.441E+12;DOS PINOS;1/4GL
