,ID,Sku,UPC,Marca,Empaque
0,1,DOUBLEMINT 5 STICK PACKAGE,22000002020,WRIGLEY`S,5STIC
1,2,JUICE FRUIT 5 STICK PACKAGE,22000002037,WRIGLEY`S,5STIC
2,3,WINTERFRESH 5 STICKS,22000002082,WRIGLEY`S,5STIC
3,4,DOUBLEMINT 15 STK SLIM,22000006660,WRIGLEY`S,UNID.
4,5,ECLIPSE GUM PEPPERMINT 8/18CT,22000013194,ECLIPSE,9'U
5,6,ECLIPSE GUM WINTERFROST 8/18CT,22000013200,ECLIPSE,9'U
6,7,ECLIPSE GUM SPEARMINT 8/18 CT,22000013316,ECLIPSE,9'U
7,8,ORBIT WHITE CHICLE 8X18U,22000013392,WRIGLEY`S,18U
8,9,ORBIT WHITE GUM PEPPERMI 8/18,22000013439,ECLIPSE,9'U
9,10,ORBIT WHITE GUM SPEARMINT 8/18,22000013477,ECLIPSE,9'U
10,11,SALVAVIDAS 2X10X32GR.,22000080684,LIFE SAVERS,32GR.
11,12,WRIGLEYS FIVE COBALT 15X,22000105066,WRIGLEY`S,UNID.
12,13,WRIGLEYS FIVE RAIN 15X,22000105080,WRIGLEY`S,UNID.
13,14,CG.CLEAN PP.CREAMY BEIGE 4/1,22700004645,COVER GIRL,UNID.
14,15,CG SMOTHER LIQ. F. CLAS. TAWNY,22700007219,COVER GIRL,UNID.
15,16,CG SMOOTHERS PRESS.POWD.TRANSL,22700008599,COVER GIRL,9.3GR
16,17,CG SMOTHER PP TRANSLU HONEY,22700008605,COVER GIRL,UNID.
17,18,RENUZIT 3 PACK APPLE AND CINAM,23400354696,RENUZIT,3PACK
18,19,RENUZIT SON PEARL AFTERTHE RAI,23400360673,RENUZIT,3.5oz
19,20,RIGHT BITES CHEEZ-IT SNACK MIX,24100351930,KEEBLER,4.44O
20,21,CONCENTRADO LIQ BABY 6/50OZ,24200003005,BABY,50ONZ
21,22,PUREX ULTRA CONCET. AFTER RAIN,24200047863,PUREX,UNID.
22,23,13101 STA-FLO 64OZ,24200131012,STA. FLO,64OZ
23,24,ZIPLOC BOLSA 9X50U,25700003106,ZIPLOC,50U
24,25,330 ZIPLOC STORAGE BAGS QUART,25700003304,ZIPLOC,25CT
25,26,00350 ZIPLOC SOTARAGE GALL 20,25700003502,ZIPLOC,20CT
26,27,00388 ZIPLOC FREEZER QUART 20,25700003885,ZIPLOC,20CT
27,28,ZIPLOC SANDWICH 100 BAGS,25700003915,ZIPLOC,100CT
28,29,ZIPLOC SNACK BAG 12X50CT.,25700011422,ZIPLOC,50U
29,30,ZIPLOC BOLSA SADNWICH 30U,25700243076,ZIPLOC,UNID.
30,31,FLOR D.CANA GOLD 12X750ML.,26964177190,FLOR DE CANA,750ML
31,32,RON FLOR DE CANA 1/2 BOTELLA,26964458763,BACARDI,375ML
32,33,RON FLOR DE CANA GOLD/A¥EJO,26964690262,BACARDI,750ML
33,34,FLOR DE CANA BLACK LABEL 375ML,26964726398,FLOR DE CANA,375ML
34,35,FLOR D.GANA RON GRAN RESERVA,26964852745,FLOR DE CANA,UNID.
35,36,BLUE BONNET BOWL SPREAD 1LB C/,27000009000,BLUE BONNET,1LB.
36,37,BLUE BONNET B SPREAD LIGHT,27000009307,BLUE BONNET,1LB.
37,38,BLUE BONNET BOWL SPREAD 3LB C/,27000009338,BLUE BONNET,45OZ.
38,39,DOS PINOS NATILLA LA GRANJA,7441000000000,DOS PINOS,UNID.
39,40,CONO KRUNCHY KRISP-002,7441000000000,DOS PINOS,UNID.
40,41,COMB.VAINI FRESA LIMON 1/4GL,7441000000000,DOS PINOS,1/4GL
41,42,VAINILLA 1/4 GL.,7441000000000,DOS PINOS,1/4GL
42,43,VAINILLA Y CHOCO CHIPS 1/4 G,7441000000000,DOS PINOS,1/4GL
43,44,VETEADO VAINI CHOCO 1/4GL,7441000000000,DOS PINOS,1/4GL
44,45,VETADO VAINI CARAM 1/4 GL,7441000000000,DOS PINOS,1/4GL
45,46,VETEADO VAINI FRESA 1/4 GL,7441000000000,DOS PINOS,1/4GL
46,47,VAINILLA CHOCO CHIPS 1 PINTA,7441000000000,DOS PINOS,PINTA
47,48,HELADO YOGURT FRESA 1/4GL.,7441000000000,DOS PINOS,1/4GL
48,49,CREMOLETA DE FRESA-002,7441000000000,DOS PINOS,75GRS
49,50,SUNDAE-002,7441000000000,DOS PINOS,UNID.
50,51,SUNDAE CARADEL PIO,7441000000000,DOS PINOS,UNID.
51,52,HELADO DELEITE NARANJA HOLANDE,7441000000000,DOS PINOS,UNID.
52,53,HELADO DELEITE CHEESECAKE,7441000000000,DOS PINOS,UNID.
53,54,HELADO DELEITE CHOCO BON,7441000000000,DOS PINOS,UNID.
54,55,MINI SANDWICH,7441000000000,DOS PINOS,UNID
55,56,MINI SANDWICH (CAJA 8),7441000000000,DOS PINOS,8 U'
56,57,LECHE PINITO 800 GR,7441000000000,DOS PINOS,800GR
57,58,LECHE EN POLVO DESCREM 400GR,7441000000000,DOS PINOS,400GR
58,59,DELACTOMY POLVO 400GR,7441000000000,DOS PINOS,400GR
59,60,FRESCOLECHE CHOCOLATE 236ML.,7441000000000,DOS PINOS,236ML
60,61,FRESCOLECHE VAINILLA 250ML,7441000000000,DOS PINOS,250ML
61,62,FRESCOLECHE FRESA 250ML,7441000000000,DOS PINOS,250ML
62,63,LECHE DELACTOMY VAINILLA 250ML,7441000000000,DOS PINOS,UNID.
63,64,LECHE ENTERA DELACTONY,7441000000000,DOS PINOS,UNID.
64,65,LECHE DELACOMY DESCREM.LINE,7441000000000,DOS PINOS,1LIT.
65,66,HELADO NEVADA CEREZA 1/2GL.,7452100000000,NEVADA,UNID.
66,67,HELADO NEVADA CEREZA 1/4GL.,7452100000000,NEVADA,UNID.
67,68,HELADO NEVADA CHOCOLATE 1/2GL,7452100000000,NEVADA,UNID.
68,69,HELADO NEVADA CHOCOLATE 1/4GL,7452100000000,NEVADA,1/4GL
69,70,HELADO NEVADA GALLETA 1/2GL,7452100000000,NEVADA,1/2GL
70,71,HELADO NEVADA GALLETA 1/4GL,7452100000000,NEVADA,1/4GL
71,72,HELADO NEVADA GRAPE NUT 1/2GL,7452100000000,NEVADA,1/2GL
72,73,HELADO NEVADA GRAPE NUT 1/4GL,7452100000000,NEVADA,1/4GL
